id,title_primary,title_ko,confidence,reasoning
tj-26159,男と女のはしご酒,남자와 여자의 술집 순례,medium,男と女のはしご酒.
tj-26173,月光蝶,월광접,medium,月光蝶 = moonlight butterfly.
tj-26181,月の呪縛(カース) (LOVELESS OP),달의 주박 (저주),medium,月の呪縛(カース) LOVELESS OP.
tj-26192,フレンジャー,프렌저,medium,フレンジャー Otsuka Ai (friend+ranger).
tj-26260,愛すクリ～ムとMyプリン,아이스크림과 My 푸딩,medium,愛すクリ～ムとMyプリン (love-cream pun).
tj-26312,勇侠青春謳 (コードギアス反逆のルルーシュ ED),용협청춘구,medium,勇侠青春謳 Code Geass ALI PROJECT (kanji-direct reading).
tj-26334,魔神見参!! (マジンカイザー OST),마신 견참!!,medium,魔神見参!! Mazinkaiser.
tj-26354,純恋歌,순연가,medium,純恋歌 Shounan no Kaze.
tj-26355,笑顔YESヌ-ド,미소 YES 누드,medium,笑顔YESヌード Morning Musume.
tj-26407,ビオライト,바이올렛,medium,ビオライト = violet/violite.
tj-26446,高架線,고가선,medium,高架線 ELLEGARDEN = elevated railway.
tj-26565,荒野流転(幕末機 いろはにほへと OP),황야유전,medium,荒野流転 Bakumatsu Kikansetsu OP.
tj-26671,石畳の緋きシャイタン,돌바닥의 진홍빛 샤이탄,medium,石畳の緋きシャイタン Sound Horizon.
tj-26737,まっがーれ↓スペクタクル(涼宮ハルヒの憂鬱 古泉一 Character Song),맛가-레↓스펙터클,medium,Stylized wordplay; transliterate.
tj-26759,ジリリキテル,지리리키테루,medium,Stylized onomatopoeic title; transliterate.
tj-26914,感じてKnight (マジンガーZ OP),느껴봐 Knight,medium,Mixed wordplay (kanjite/kanji=Knight).
tj-27216,ツブサニコイ,츠부사니코이,medium,Stylized wordplay; transliterate.
tj-27266,ペラペラペラオ,페라페라페라오,medium,Stylized wordplay; transliterate.
tj-27312,ナギイチ,나기이치,medium,Stylized wordplay; transliterate.
tj-27319,アイシテラブル!,사랑해러블!,medium,Wordplay aishite+lovable.
tj-27340,チャンカパーナ,찬카파나,medium,Coined word; transliterate.
tj-27390,つけまつける,츠케마 츠케루,medium,Famous Kyary; tsukema(인조속눈썹)+tsukeru(붙이다); transliterate per common idiom.
tj-27487,南部蝉しぐれ,난부 매미 시구레,medium,Region+seasonal noun; literal.
tj-27524,銭五の海,젠고의 바다,medium,Historic figure name + sea; literal.
tj-27543,深山しぐれ,심산 시구레,medium,miyama=깊은산; shigure=가을비.
tj-27638,暗夜の心中立て,암야의 동반자살 맹세,medium,心中立て=동반자살 맹세 (literary); 暗夜=암야
tj-27655,ミライボウル (ドラゴンクライシス! ED),미라이 볼,medium,"ミライボウル = Mirai Bowl, transliteration is standard for Momoclo"
tj-27673,がむしゃら行進曲(地獄先生ぬ~べ~ OST),무모한 행진곡,medium,がむしゃら=무모한/저돌적인; 행진곡=march
tj-27711,冬子のブルース,후유코의 블루스,medium,冬子=후유코 (woman name); 블루스
tj-27716,もんだいガール(問題のあるレストラン OST),문제 걸,medium,もんだいガール = problem girl/문제걸
tj-27719,風やまず,바람 멈추지 않고,medium,風やまず literal
tj-27722,"夏色えがおで 1, 2, Jump!(ラブライブ! OST)",,medium,"mixed Latin+Japanese; ""夏色えがおで"" hard literal: 여름빛 미소로 1,2,Jump"
tj-27723,コケティッシュ渋滞中,코케티시 정체 중,medium,コケティッシュ=coquettish; 渋滞中=정체 중
tj-27727,一声一代,한 목소리 일대,medium,一声一代 literary expression
tj-27735,長持祝い唄,나가모치 축하 노래,medium,長持祝い唄 traditional wedding song
tj-27742,チュムチュム,츄무츄무,medium,"チュムチュム = NEWS song, transliteration"
tj-27750,カタルリズム(黒子のバスケ ED),카타르 리듬,medium,カタルリズム invented word; transliterate
tj-27756,クルクル,쿠루쿠루,medium,"クルクル = onomatopoeic, transliteration"
tj-27772,ひとり薩摩路,홀로 사쓰마 길,medium,薩摩=사쓰마(지역)
tj-27790,ヒャダインのカカカタ☆ カタオモイ-C(日常 OP),햐다인의 카카카타☆카타오모이-C,medium,transliteration; 카타오모이=짝사랑
tj-27821,はなまるぴっぴは よいこだけ(おそ松さん OP),하나마루핏피는 좋은 아이만,medium,はなまるぴっぴ nonsense; transliteration
tj-27828,全力バタンキュー(おそ松さん 2nd OP),전력 쾅 큐~,medium,全力バタンキュー = 전력 쾅 쿵 (onomatopoeic for collapsing in exhaustion)
tj-27838,アクセンティア(デジモンワールド-next 0rder-OST),악센티아,medium,"アクセンティア = Accentier/Accentia, invented word"
tj-27843,こだまことだま(のんのんびより りぴーと OP),메아리와 영혼,medium,こだまことだま = 메아리와 言霊(말의 영혼) wordplay
tj-27852,ゆりゆらららら ゆるゆり大事件(ゆるゆり OP),유리유라라라라 유루유리 대사건,medium,ゆりゆらららら nonsense onomatopoeic
tj-27858,次々続々,계속해서 잇따라,medium,次々続々 = 잇따라 잇따라/계속해서
tj-27896,独りんぼエンヴィー,히토림보 엔비,medium,独りんぼエンヴィー = solo envy/외톨이 envy; vocaloid title commonly transliterated
tj-27931,SIX SHAME FACES ~今夜も最高!!!!!!~(おそ松さん ED),,medium,pure-Latin SIX SHAME FACES
tj-27964,ホシアイ,별의 사랑,medium,ホシアイ = 星愛/星合 = 별 만남/별의 사랑
tj-27966,チュルリラ・チュルリラ・ダッダッダ!,추루리라 추루리라 닷닷다!,medium,チュムチュム-style nonsense; transliteration
tj-28005,SIX SAME FACES ~今夜も最高!!!!!!~(おそ松さん ED),,medium,pure-Latin SIX SAME FACES
tj-28709,アイオクリ(Movie Ver.)(映画'君と100回目の恋' OST),사랑 보내기 (Movie Ver.),medium,アイオクリ = 愛贈り = love-giving/사랑 보내기
tj-28786,にめんせい☆ ウラオモテライフ!(干物妹!うまるちゃん OST),양면성 ☆ 우라오모테 라이프!,medium,にめんせい literal 二面性=양면성; ウラオモテ=表裏=앞뒤
tj-28821,ルンがピカッと光ったら(マクロスΔ ED),룬이 반짝 빛나면,medium,ルンがピカッと光ったら; ルン invented species/word in Macross Δ
tj-28836,笑一笑~シャオイーシャオ!~(映画'クレヨンしんちゃん爆盛! カンフーボーイズ~拉麺大乱~' OST),소일소 ~샤오이샤오~,medium,笑一笑 Chinese phrase 一笑而过/laugh; transliteration of シャオイーシャオ as 샤오이샤오
tj-28902,卑怯戦隊うろたんだー,비겁전대 우로탄다,medium,卑怯戦隊うろたんだー parody name; 우로탄다 transliteration
tj-28960,熱色スターマイン(BanG Dream! OST),열색 스타마인,medium,熱色スターマイン = hot-color starmine (firework type)
tj-28973,ツナグ、ソラモヨウ(BanG Dream! OST),잇닿는 하늘 모양,medium,"ツナグ、ソラモヨウ = 잇다, 하늘 모양 (Afterglow)"
tj-28982,チグリジア(ヒプノシスマイク),치그리지아,medium,チグリジア = Tigridia (flower)/치그리지아
tj-52426,ねねねねねねねね!大爆走,네네네네네네네네! 대폭주,medium,ねねねねねねねね reduplication of name; transliteration
tj-52471,壱雫空(アニメ 'BanG Dream! It's MyGO!!!!!' OST),한 방울의 하늘,medium,"壱雫空 invented compound, literal: 一滴+空"
tj-52500,ナイスだね(ロッテ 'アジアに恋して' CM),나이스네,medium,ナイスだね = Nice + ね = 나이스네
tj-52739,君と癖,너와의 버릇,medium,君と癖 literal: 너와 버릇
tj-52758,め組のひと('UQ mobile' CM),메구미의 사람,medium,め組=메구미(소방대명); のひと=의 사람 (RATS&STAR classic)
tj-52865,メタルなかよし('VS.超特急' ED),메탈 친구,medium,メタルなかよし = metal + 仲良し(친구)
tj-52956,"とくべチュ, して","특별츄, 해줘",medium,とくべチュ = 특별 + 츄(키스)
tj-52978,けっかおーらい(TVアニメ 'ヴィジランテ -僕のヒーローアカデミア ILLEGALS-' OST),결과 올라이트,medium,けっかおーらい = 結果オーライ = 결과 OK/올라이트
tj-54060,特者生存ワンダラダ-!!,특자생존 원더라다-!!,medium,特者生存ワンダラダ Hololive Amane Kanata invented phrase
tj-54607,天若有情(锦绣未央 主题曲),천약유정,medium,天若有情 Chinese phrase = 하늘이 정이 있다면 / 천약유정 (kanji-reading)
tj-54767,水上灯,수상등,medium,水上灯 = water-surface lamp/수상등
tj-6192,新宿そだち,신주쿠에서 자란,medium,そだち = upbringing; literal '신주쿠 자람/자라기'. Used '신주쿠에서 자란' for naturalness.
tj-6219,デュオーしのび逢い,듀오-비밀스러운 만남,medium,デュオ-しのび逢い = duo-secret meeting/tryst.
tj-6244,いっぽんどっこの唄,혼자 일어선 노래,medium,いっぽんどっこ = standing alone/independent; classical idiom.
tj-6249,2100ねんがチャピンキッド,2100년이 채핀키드,low,Niche children's song; unable to verify Korean rendering.
tj-6308,とまり木,쉼터,medium,とまり木 = perch/resting branch; metaphorically watering hole.
tj-6315,こねこのしーにゃん,아기고양이 시냥,medium,こねこ = kitten; しーにゃん = name.
tj-6352,アマン,아만,medium,Foreign loanword (likely Aman); transliterate.
tj-6422,小麥ちゃん,코무기짱,medium,小麦 means wheat but here used as a personal name (Komugi-chan).
tj-6474,珍道物語,진도 이야기,medium,珍道 = unusual journey/road; Tendo Yoshimi song.
tj-6481,野風増,노후우조,medium,野風増 = idiomatic; commonly transliterated.
tj-6538,夢酔枕,몽취침,medium,夢酔枕 = sino-Japanese poetic compound.
tj-6540,醉待酒,취하길 기다리는 술,medium,酔い待ち酒 = sake while waiting to get drunk.
tj-6563,戀やどり,사랑의 더부살이,medium,やどり = lodging/dwelling.
tj-6589,いでゆ橋,이데유 다리,medium,いでゆ = 出湯 = hot spring.
tj-6611,出で湯橋,이데유 다리,medium,出で湯 = hot spring outflow; another reading of いでゆ橋.
tj-68042,チカっとチカ千花っ(かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜 ED),치카핫 치카치카하,medium,Kaguya-sama ED 'Chika Chika Chika'; Korean fan blogs use various transliterations.
tj-68097,マッチョアネーム?(ダンベル何キロ持てる？ ED),머쵸 어 네임?,medium,Dumbbell ED 'Macho a Name'; transliteration.
tj-6832,あきらめて女,포기해라 여자,medium,Kadogawa Hiroshi 'Akiramete Onna' literal.
tj-68492,レナセールセレナーデ(アニメ '転生したらスライムだった件 第3期' OST),레나세루 세레나데,medium,Momoiro Clover Z 'Renaseru Serenade' (Renasel Serenade) - transliteration.
tj-6853,あかんたれ,아칸타레,medium,Yashiro Aki 'Akantare' Kansai dialect for weak/timid; transliteration.
tj-68745,カナデトモスソラ('プロジェクトセカイ カラフルステージ！ feat. 初音ミク' OST),카나데토 모스 소라,medium,Project Sekai 'Kanade Tomosu Sora' (Sky We Play Together); literal segments.
tj-68782,ヒトミナカ(ツルネ －つながりの一射－ ED),히토미나카,medium,Tei Tsurune ED 'Hitominaka' transliteration of poetic title.
tj-68833,ビビっとラブ(アニメ '理系が恋に落ちたので証明してみた。r=1-sinθ (ハート)' ED),비비ㅅ 러브,medium,Rikei ga Koi ni Ochita node Shoumeishitemita ED 'Bibitto Love' onomatopoeia.
tj-68869,アレキシサイミアスペア(映画 'Psycho-PASS サイコパス PROVIDENCE' OST),알렉시사이미아 페어,medium,Ling Tosite Sigure Psycho-Pass Providence OST 'Alexisaymia Pair'; transliteration of made-up term.
tj-68990,愛染橋,아이조메바시,medium,愛染橋 is a proper place name (bridge in Osaka); transliterated
tj-6954,ザ☆ピ~ス!,더☆피~스!,medium,ザ☆ピ~ス! = The☆Peace! - Morning Musume; transliterated playful title
tj-6972,夫婦善哉,부부 젠자이,medium,夫婦善哉 is a famous title (Osaka novel/film); proper name kept transliterated
tj-6985,ナマイキ,나마이키 (건방지게),medium,ナマイキ = cheeky/saucy
tj-70488,岁月无声,세월무성,medium,"岁月无声 = ""years go by silently"" (Beyond, Chinese)"
tj-70502,旧日的足迹,옛날의 발자취,medium,"旧日的足迹 = footprints of past days (Beyond, Chinese)"
tj-70878,不再犹豫,더 이상 망설이지 않아,medium,不再犹豫 = no more hesitation (Beyond)
tj-72638,明天你是否依然爱我,내일 너는 여전히 나를 사랑할까,medium,明天你是否依然爱我 (Chinese ballad)
tj-72965,遥望,아득히 바라봄,medium,遥望 = gaze afar (Beyond)
tj-77006,心如止水,심여지수,medium,心如止水 = heart like still water (Chinese)
tj-77250,唯你之光,오직 너만의 빛,medium,唯你之光 = light only of you (Chinese)
tj-77254,无愧(电影'上海堡垒'片尾主题曲),부끄럼 없이,medium,"无愧 (Chinese, R1SE)"
tj-78037,梦蝶：一百万个可能,몽접: 백만 가지 가능,medium,梦蝶：一百万个可能 = dream butterfly: a million possibilities
tj-78375,北京昨夜下了雪,베이징 어젯밤 눈이 내렸다,medium,北京昨夜下了雪 (Chinese)
tj-78512,断线,단선,medium,断线 = cut line (Chinese)
tj-78514,妈妈的话,엄마의 말씀,medium,妈妈的话 (Chinese)
tj-80067,我是真的真的很爱你,난 정말 정말 너를 사랑해,medium,我是真的真的很爱你 (F4 Chinese)
tj-80141,一千零一个愿望,천 한 가지 소원,medium,一千零一个愿望 = 1001 wishes (4 In Love Chinese)
tj-80150,第一时间,첫 시간,medium,第一时间 = first instant (F4)
tj-80170,我们的纪念册,우리의 기념책,medium,我们的纪念册 (Twins Chinese)
tj-80259,爱情的海洋,사랑의 바다,medium,爱情的海洋 (S.H.E Chinese)
tj-80261,无可取代,대체할 수 없는,medium,无可取代 = irreplaceable (S.H.E)
tj-80280,为你执着,너를 향한 집착,medium,为你执着 = persisting for you (F4)
tj-80375,狂人山庄,광인산장,medium,狂人山庄 = madman's mountain villa (Beyond)
tj-80377,威武四小龙,위무사소룡,medium,威武四小龙 (Beyond Chinese)
tj-80710,如果你在这里,만약 네가 여기 있다면,medium,如果你在这里 (B.A.D Chinese)
tj-80995,绝不能失去你,결코 너를 잃을 수 없어,medium,绝不能失去你 (F4 Chinese)
tj-80996,烟火的季节,불꽃놀이의 계절,medium,烟火的季节 (F4 Chinese)
tj-81049,要定你,반드시 너를,medium,要定你 (F4 Chinese)
tj-81554,你休想,꿈도 꾸지 마,medium,你休想 = don't even think about it (4 In Love Chinese)
tj-82131,我们的爱,우리의 사랑,medium,我们的爱 (F.I.R. Chinese canonical)
tj-82157,阿拉伯跳舞女郎,아라비아의 댄서,medium,阿拉伯跳舞女郎 = Arabian dancing girl (Beyond)
tj-82387,Tasty(貘),Tasty (맥),medium,Tasty kept Latin; 貘=baku (mythical tapir creature) → 맥
tj-83738,只有我,나만이,medium,只有我 = only me (Energy Chinese)
tj-85721,北京我的爱,베이징 나의 사랑,medium,北京我的爱 = Beijing my love (Marry-M Chinese)
tj-86795,无助,무력함,medium,无助 = helpless (Beyond Chinese)
tj-88164,爱情当入樽,사랑은 슬램덩크,medium,"爱情当入樽 (Twins Chinese, slam-dunk wordplay)"
tj-88212,请将手放开,손을 놓아주세요,medium,请将手放开 (Beyond Chinese)
tj-90021,堕,추락,medium,堕 = fall/depravity (Zyboy Chinese)
tj-90139,把回忆拼好给你,추억을 이어 너에게,medium,把回忆拼好给你 (Chinese)
tj-90527,原来((青春派)电影原声带),원래,medium,原来 = originally (Chinese)
tj-90915,别回头,뒤돌아보지 마,medium,别回头 = don't look back (Chinese)
tj-90916,打火机,라이터,medium,打火机 = lighter (Chinese)
blog-1266-8,ひみつ気分,비밀 기분,medium,"ひみつ=secret, 気分=mood/feeling (なきそ vocaloid)"
blog-459-18,イロドリミライ,색채 미래,medium,"イロドリ=coloring/イロドリ vivid, ミライ=future (八王子P vocaloid)"
blog-432-22,ガラクタ・パレード,잡동사니 퍼레이드,medium,"ガラクタ=junk, パレード=parade (Neru vocaloid)"
blog-384-60,欠落オートメーション,결락 오토메이션,medium,"欠落=missing/lack, オートメーション=automation (ONE OK ROCK)"
tjpdf-27892,カザハネ,카자하네,medium,カザハネ proper name (Shimotsuki Haruka song)
tjpdf-28201,クフフのフ~僕と契約~,쿠후후의 후~나와 계약~,medium,クフフのフ playful syllables; 僕と契約=contract with me
tjpdf-28421,かくしん的めたまるふぉ~ぜっ,확신적 메타모르포제,medium,"かくしん=core/conviction, めたまるふぉ~ぜっ=metamorphose (loan)"
tjpdf-28541,健全ロボ ダイミダラー,건전 로보 다이미다라,medium,"健全=wholesome, ロボ=robot, ダイミダラー proper name"
tjpdf-28315,恋のヒメヒメぺったんこ,사랑의 히메히메 펫탕코,medium,"恋=love, ヒメヒメ playful princess, ぺったんこ=flat (Tamura Yukari)"
tjpdf-28633,超妻賢母宣言,초처현모 선언,medium,"超妻賢母 (good wife wise mother), 宣言=declaration"
tjpdf-28260,ベリーメロン~私の心をつかんだ,베리 멜론~내 마음을 사로잡은,medium,"ベリーメロン=Very Melon, 私の心を=my heart, つかんだ=caught"
tjpdf-28509,夢色チェイサー,꿈빛 체이서,medium,"夢色=dream-colored, チェイサー=chaser (Ayukawa Mami)"
tjpdf-28507,セルリアン,서룰리언,medium,セルリアン = Cerulean (BACK-ON)
tjpdf-28409,太陽曰く燃えよカオス,태양이 가로되 불타올라라 카오스,medium,"太陽曰く=sun says, 燃えよ=burn, カオス=chaos (Haiyore Nyaruko-san OP canonical)"
tjpdf-28316,恋は渾沌の隷也,사랑은 혼돈의 종이니라,medium,"恋は=love is, 渾沌=chaos, 隷也=servant of (Haiyore Nyaruko-san canonical)"
tjpdf-28238,はっぴぃにゅうにゃあ,해피니~뉴~냐,medium,"はっぴぃ=happy, にゅう=new, にゃあ=meow (cat-themed)"
tjpdf-28239,ハナノイロ,하나노이로,medium,ハナノイロ = color of flower (nano.RIPE Hanasaku Iroha OP)
tjpdf-28384,残念系隣人部★★☆,안타까운계 이웃부 ★★☆,medium,"残念系=disappointing-type, 隣人部=neighbor club (Boku wa Tomodachi ED)"
tjpdf-27561,ユラユラ,유라유라,medium,"ユラユラ = swaying (Hearts Grow, Naruto)"
tjpdf-28235,ハートリアライズ,하트 리얼라이즈,medium,"ハートリアライズ = Heart Realize (loan, Tia)"
tjpdf-28261,ポワゾンKISS,포와종 KISS,medium,"ポワゾン = Poison (French/loan), KISS kept Latin (QUARTET NIGHT)"
tjpdf-27653,なないろびより,일곱빛 좋은 날,medium,"なないろ=seven-color, びより=fine day (nano.RIPE Non Non Biyori)"
tjpdf-27864,リンゴ日和∼The Wolf Whistling,사과 좋은 날 ~The Wolf Whistling~,medium,"リンゴ=apple, 日和=fine day; ROCKY CHACK Spice and Wolf canonical"
tjpdf-27879,サクラキミニエム,벚꽃 너에게 새기다,medium,"サクラ=cherry blossom, キミニ=to you, エム=engrave (yozuca*)"
tjpdf-28390,絶望性：ヒーロー治療薬,절망성: 히어로 치료약,medium,"絶望性=despair-property, ヒーロー=hero, 治療薬=cure (Suzumu vocaloid)"
tjpdf-68560,トーキョーワンダー。,도쿄 원더.,medium,"トーキョー=Tokyo, ワンダー=Wonder (Nakimushi)"
tjpdf-28281,ラブノベルス,러브 노벨스,medium,ラブノベルス = Love Novels (BiBi Love Live)
tjpdf-28407,寝・逃・げでリセット!,자・도・야 리셋!,medium,"寝=sleep, 逃げ=escape, でリセット=reset (Hidamari Sketch)"
tjpdf-28385,薔薇獄乙女,장미옥 소녀,medium,"薔薇獄=rose prison, 乙女=maiden (ALI PROJECT Rozen Maiden)"
tjpdf-68225,アイモ,아이모,medium,"アイモ = Aimo (Macross Frontier canonical, Ranka Lee)"
tjpdf-28276,ユニバーサル・バニー,유니버설 버니,medium,ユニバーサル・バニー = Universal Bunny (Macross Frontier)
tjpdf-27988,リフレインボーイ,리프레인 보이,medium,リフレインボーイ = Refrain Boy (All OFF Mob Psycho canonical)
tjpdf-28295,空想メソロギヰ,공상 메소로기이,medium,"空想=fantasy, メソロギヰ=Methologie (Yousei Teikoku Future Diary canonical)"
tjpdf-28365,十六夜涙,이자요이의 눈물,medium,"十六夜=16th night moon, 涙=tears (Yoshioka Aika Hakuoki canonical)"
tjpdf-28460,ミニハムずの愛の唄,미니햄즈의 사랑 노래,medium,"ミニハムず=Mini-Hams, 愛の唄=love song (Mini Moni Hamtaro canonical)"
tjpdf-28602,ツキヨミ,츠키요미,medium,ツキヨミ = 月読 (phatmans after school)
tjpdf-28797,ぼなぺてぃーとS,보나페티 S,medium,"ぼなぺてぃーと=Bon Appétit, S (Blend A canonical)"
tjpdf-28339,死せる乙女その手には水月,죽은 소녀 그 손에는 수월,medium,"死せる乙女=dead maiden, 水月=water-moon (Sound Horizon)"
tjpdf-28340,死せる者達の物語,죽은 자들의 이야기,medium,"死せる者達=the dead ones, 物語=story (Sound Horizon)"
tjpdf-68189,侵略する者される者,침략하는 자 당하는 자,medium,"侵略する者=invader, される者=invaded (Sound Horizon)"
tjpdf-28349,星屑の革紐,별가루의 가죽끈,medium,"星屑=stardust, 革紐=leather strap (Sound Horizon)"
tjpdf-27869,コトダマ,코토다마,medium,コトダマ = 言霊 (ALI PROJECT)
tjpdf-28195,キミシニタモウコトナカレ,그대여 죽지 마오,medium,キミシニタモウコトナカレ = 君死にたまふことなかれ (May'n)
tjpdf-28410,爆走夢歌,폭주 몽가,medium,"爆走=rampage, 夢歌=dream song (Diggy-MO' Soul Eater canonical)"
tjpdf-28284,ロッタラロッタラ,롯타라 롯타라,medium,ロッタラロッタラ playful (Buono! Shugo Chara)
tjpdf-28268,まっがーれ↓スペクタクル,맛가레↓스펙터클,medium,"まっがーれ=flip over, スペクタクル=Spectacle (Ono Daisuke Hetalia)"
tjpdf-68430,"300년, 모르는 ぐだふわエブリデー",구다후와 에브리데이,medium,"ぐだふわ=lazy-fluffy, エブリデー=Everyday (Yuki Aoi)"
tjpdf-28245,ハルカ,하루카,medium,ハルカ = 遥か / proper name (Pierrot Naruto canonical)
tjpdf-28227,つながリーヨ,연결되리요,medium,つながリーヨ = connecting (T-Pistonz Inazuma Eleven)
tjpdf-28306,対象a,대상 a,medium,対象a = object a (anNina Boogiepop canonical)
